area_ha,count,defo_m2,farm_id,label,total_m2,defo_pct
3.89,389,0.0,256,1,38166.97682698566,0.0
1.26,126,0.0,257,1,12367.136024654614,0.0
0.54,54,0.0,258,1,5295.206512092144,0.0
1.48,148,0.0,259,1,14529.193304443364,0.0
4.18,418,0.0,260,1,41044.84288997275,0.0
1.06,106,0.0,261,1,10394.70866417978,0.0
0.56,56,0.0,262,1,5486.401454132678,0.0
1.0,100,0.0,263,1,9811.340100965313,0.0
12.5,1250,0.0,264,1,122772.8579939599,0.0
0.82,82,0.0,265,1,8049.206090740132,0.0
0.58,58,0.0,266,1,5693.597630310058,0.0
0.64,64,0.0,267,1,6280.35654853372,0.0
0.79,79,0.0,268,1,7750.301263607249,0.0
0.89,89,0.0,269,1,8730.507115293018,0.0
0.73,73,0.0,270,1,7163.561413454541,0.0
1.59,159,0.0,271,1,15591.856824837485,0.0
45.19,4519,0.0,272,1,443748.2147245523,0.0
3.62,362,0.0,273,1,35516.806377904555,0.0
0.68,68,0.0,274,1,6670.157633164346,0.0
0.79,79,0.0,275,1,7732.890036309934,0.0
0.61,61,0.0,276,1,5991.32730844535,0.0
2.52,252,0.0,277,1,24751.254782194243,0.0
0.94,94,0.0,278,1,9220.6082927629,0.0
1.01,101,0.0,279,1,9909.978246471926,0.0
0.98,98,0.0,280,1,9617.985554863426,0.0
3.39,339,0.0,281,1,33266.58114148307,0.0
0.79,79,0.0,282,1,7747.989607867073,0.0
1.42,142,0.0,283,1,13940.659356928803,0.0
0.75,75,0.0,284,1,7361.821633312746,0.0
3.94,394,0.0,285,1,38669.36383041683,0.0
0.59,59,0.0,286,1,5781.053193514956,0.0
0.69,69,0.0,287,1,6774.244808152141,0.0
2.32,232,0.0,288,1,22764.38330847049,0.0
9.93,993,0.0,289,1,97520.23435662959,0.0
4.97,497,0.0,290,1,48785.25420810478,0.0
0.54,54,0.0,291,1,5294.8006510117475,0.0
0.77,77,0.0,292,1,7563.070684964046,0.0
1.99,199,0.0,293,1,19529.909900979448,0.0
9.14,914,0.0,294,1,89740.13213013303,0.0
1.3,130,0.0,295,1,12758.486644610231,0.0
0.57,57,0.0,296,1,5583.844098020069,0.0
3.24,324,0.0,297,1,31794.17094137155,0.0
0.69,69,0.0,298,1,6764.306520738792,0.0
3.69,369,0.0,299,1,36240.65950981588,0.0
1.77,177,0.0,300,1,17369.007078163297,0.0
2.47,247,0.0,301,1,24250.087515258805,0.0
2.27,227,0.0,302,1,22258.77380047967,0.0
0.57,57,0.0,303,1,5596.8646222582065,0.0
0.69,69,0.0,304,1,6768.777924331965,0.0
0.76,76,0.0,305,1,7463.718116820093,0.0
84.5,8450,0.0,306,1,829489.7023789068,0.0
0.6,60,0.0,307,1,5888.156101540959,0.0
0.64,64,0.0,308,1,6284.002052576404,0.0
0.76,76,0.0,309,1,7456.48670944513,0.0
6.52,652,0.0,310,1,64008.39580341419,0.0
8.21,821,0.0,311,1,80598.14512822767,0.0
1.09,109,0.0,312,1,10687.462773850386,0.0
0.81,81,0.0,313,1,7952.052656525256,0.0
0.67,67,0.0,314,1,6566.316543848373,0.0
8.45,845,0.0,315,1,82907.10886454856,0.0
10.16,1016,0.0,316,1,99750.66978487486,0.0
2.35,235,0.0,317,1,23058.028289286318,0.0
1.08,108,0.0,318,1,10604.363193945785,0.0
0.71,71,0.0,319,1,6965.955331839769,0.0
4.3,430,0.0,320,1,42212.88984315156,0.0
5.74,574,0.0,321,1,56384.096517615166,0.0
0.63,63,0.0,322,1,6177.1825234207445,0.0
1.01,101,0.0,323,1,9908.796900221878,0.0
0.5,50,0.0,324,1,4904.959132564772,0.0
0.62,62,0.0,325,1,6086.412172115551,0.0
0.79,79,0.0,326,1,7752.994722613169,0.0
8.52,852,0.0,327,1,83638.611977551,0.0
1.0,100,0.0,328,1,9801.488631723438,0.0
0.7,70,0.0,329,1,6863.876121580834,0.0
0.71,71,0.0,330,1,6953.822940542181,0.0
8.1,810,0.0,331,1,79523.11870135133,0.0
2.46,246,0.0,332,1,24129.510051024183,0.0
0.69,69,0.0,333,1,6769.192912442076,0.0
0.6,60,0.0,334,1,5890.351080651375,0.0
0.67,67,0.0,335,1,6570.469922622983,0.0
0.53,53,0.0,336,1,5193.874319278493,0.0
1.12,112,0.0,337,1,10988.510979267196,0.0
0.53,53,0.0,338,1,5198.965913570629,0.0
0.51,51,0.0,339,1,4998.485011530857,0.0
0.88,88,0.0,340,1,8637.410878978055,0.0
1.68,168,0.0,341,1,16500.076231773233,0.0
0.85,85,0.0,342,1,8345.210537988998,0.0
0.87,87,0.0,343,1,8544.528669499414,0.0
14.05,1405,0.0,344,1,137988.49916902417,0.0
0.91,91,0.0,345,1,8926.122442208083,0.0
0.87,87,0.0,346,1,8530.173325901409,0.0
0.64,64,0.0,347,1,6279.0103146122965,0.0
1.01,101,0.0,348,1,9906.116684588262,0.0
4.42,442,0.0,349,1,43370.03826320877,0.0
1.16,116,0.0,350,1,11388.54540297564,0.0
0.65,65,0.0,351,1,6364.044774552885,0.0
0.78,78,0.0,352,1,7653.087171666761,0.0
0.68,68,0.0,353,1,6669.411286058614,0.0
0.64,64,0.0,354,1,6278.3585081511865,0.0
2.11,211,0.0,355,1,20701.38731483012,0.0
4.13,413,0.0,356,1,40564.444822513346,0.0
4.69,469,0.0,357,1,46036.07053931741,0.0
0.57,57,0.0,358,1,5586.164093197093,0.0
0.76,76,0.0,359,1,7458.319430362476,0.0
0.55,55,0.0,360,1,5390.402355627922,0.0
1.11,111,0.0,361,1,10897.607940584072,0.0
0.86,86,0.0,362,1,8440.565592148725,0.0
1.27,127,0.0,363,1,12464.178085536576,0.0
2.35,235,0.0,364,1,23061.41960000428,0.0
0.51,51,0.0,365,1,5005.110638517491,0.0
0.88,88,0.0,366,1,8630.172264906938,0.0
21.06,2106,0.0,367,1,206789.6220094569,0.0
0.83,83,0.0,368,1,8147.845418054917,0.0
2.11,211,0.0,369,1,20714.40267492556,0.0
1.17,117,0.0,370,1,11484.282210406129,0.0
0.57,57,0.0,371,1,5595.186635724235,0.0
1.78,178,0.0,372,1,17472.218867761963,0.0
1.58,158,0.0,373,1,15518.257166933545,0.0
14.97,1497,0.0,374,1,146959.15440461406,0.0
0.51,51,0.0,375,1,5004.625206532198,0.0
0.57,57,0.0,376,1,5592.655893782074,0.0
0.67,67,0.0,377,1,6577.153191330854,0.0
0.9,90,0.0,378,1,8828.59618533266,0.0
2.27,227,0.0,379,1,22285.708527389215,0.0
0.6,60,0.0,380,1,5889.336321303422,0.0
0.79,79,0.0,381,1,7734.4541913500025,0.0
9.9,990,0.0,382,1,97179.61716835169,0.0
1.68,168,0.0,383,1,16486.470050048825,0.0
1.79,179,0.0,384,1,17557.88862268784,0.0
0.82,82,0.0,385,1,8048.353790911507,0.0
0.64,64,0.0,386,1,6278.043859324733,0.0
0.54,54,0.0,387,1,5301.443953151326,0.0
1.53,153,0.0,388,1,15021.568321676814,0.0
2.82,282,0.0,389,1,27672.514537886094,0.0
0.88,88,0.0,390,1,8638.638949704638,0.0
4.01,401,0.0,391,1,39350.98916608023,0.0
1.42,142,0.0,392,1,13939.014701484231,0.0
0.93,93,0.0,393,1,9114.43210365445,0.0
0.8,80,0.0,394,1,7848.148733191395,0.0
0.55,55,0.0,395,1,5397.031584137562,0.0
2.81,281,0.0,396,1,27589.99601542153,0.0
2.86,286,0.0,397,1,28081.610251781985,0.0
0.5,50,0.0,398,1,4903.535383605958,0.0
0.75,75,0.0,399,1,7362.198353337309,0.0
2.83,283,0.0,400,1,27771.074320983873,0.0
0.97,97,0.0,401,1,9525.92882259593,0.0
0.97,97,0.0,402,1,9510.265932868511,0.0
1.17,117,0.0,403,1,11479.169820718205,0.0
0.66,66,0.0,404,1,6480.834576984482,0.0
6.0,600,0.0,405,1,58871.168513758064,0.0
0.54,54,0.0,406,1,5294.329175343232,0.0
6.34,634,0.0,407,1,62260.2911637848,0.0
5.56,556,0.0,408,1,54590.27144745471,0.0
9.06,906,0.0,409,1,88962.20443935016,0.0
0.67,67,0.0,410,1,6570.136893867045,0.0
6.49,649,0.0,411,1,63713.57789516075,0.0
1.71,171,0.0,412,1,16765.89545979221,0.0
0.62,62,0.0,413,1,6082.831297751036,0.0
26.75,2675,0.0,414,1,262579.00482749206,0.0
0.64,64,0.0,415,1,6276.6648738487065,0.0
3.53,353,0.0,416,1,34661.20623477114,0.0
1.02,102,0.0,417,1,10004.720990977563,0.0
0.64,64,0.0,418,1,6282.819880855785,0.0
0.53,53,0.0,419,1,5196.968488955031,0.0
0.52,52,0.0,420,1,5104.832430192537,0.0
9.66,966,0.0,421,1,94797.50541573306,0.0
4.08,408,0.0,422,1,40063.712488570854,0.0
1.43,143,0.0,423,1,14036.39252295401,0.0
1.57,157,0.0,424,1,15401.28853484509,0.0
0.99,99,0.0,425,1,9723.626025480382,0.0
1.15,115,0.0,426,1,11284.991840826295,0.0
0.67,67,0.0,427,1,6577.289944906797,0.0
5.52,552,0.0,428,1,54197.49071876671,0.0
0.9,90,0.0,429,1,8820.126732411101,0.0
0.57,57,0.0,430,1,5596.26143278234,0.0
